 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Contributor
85,How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",160,10B,86,2025-07-06,02:56,89,k-pop,Pop,KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20,60,1,0,61,10,30,-3,D,4,3RXUgPNIbUgFxsDWuBQEt6,K-Pop Demon Hunters,QZ8BZ2513508,Theresa
86,4X4,Travis Scott,143,11A,85,2025-07-06,03:10,73,rap,Hip Hop,4X4,2025-01-24,63,4,0,22,0,70,-3,F#/G♭ minor,4,6s8WSX1MxNThrot8ThI6fG,Cactus Jack / Epic,USSM12410202,Theresa
87,untitled 08 | 09.06.2014.,Kendrick Lamar,120,10A,52,2025-07-06,03:55,66,"hip hop, west coast hip hop",Hip Hop,untitled unmastered.,2016-03-04,85,25,0,69,20,10,-9,B minor,4,5bBUDJUfGcG7eFy3Bf4fXv,Aftermath,USUM71601679,Theresa
88,I Love You Like An Alcoholic,The Taxpayers,108,9A,42,2025-07-07,03:35,0,"folk punk, anti-folk","Folk, Rock"," God, Forgive These Bastards  Songs From The Forgotten Life of Henry Turner",2012-06-19,61,38,0,21,0,10,-6,E minor,4,7u63zva845rv8tRFi9FG8a,Asian Man Records,US4ZV1200087,Puffy
89,Cat's in the Cradle,Harry Chapin,78,6B,58,2025-07-07,03:42,67,singer-songwriter,Folk,Verities & Balderdash,1974-00-00,49,23,0,51,0,10,-10,A#/B♭,4,2obblQ6tcePeOEVJV6nEGD,Rhino/Elektra,USEE10180356,Puffy
90,Probably Up,Lawrence,95,6B,61,2025-07-10,04:14,29,"pop soul, retro soul, christmas","Pop, R&B",Living Room,2018-09-14,74,34,0,70,0,30,-6,A#/B♭,4,13HalBseZHAT19C6jWs1Ma,Same Wavelength LLC,QM24S1832373,TJ
91,Fall Into Place,Couch,140,4B,45,2025-07-10,04:27,50,"pop soul, jazz pop, funk pop, retro pop","Pop, R&B, Jazz",Fall Into Place,2020-04-17,72,29,0,69,0,0,-6,G#/A♭,4,1KM8IlK6OutsP0dBVFgtP2,Couch Productions LLC,QZDA62016580,TJ
92,Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd,138,6A,29,2025-07-25,13:32,72,"progressive rock, psychedelic rock, classic rock, art rock, rock",Rock,Wish You Were Here,1975-09-12,26,77,69,4,0,10,-12,G minor,3,6pnwfWyaWjQiHCKTiZLItr,Pink Floyd Records,GBN9Y1100085,Sam
93,Save Me the Time,Cannibal Kids,153,6A,81,2025-07-26,03:53,43,,,deadheads,2020-02-21,65,2,0,86,0,0,-7,G minor,4,6PrpOFLpGFv9vaGvx8FUNk,"Shaemax Records, LLC",QZFYX2087123,Angel
94,Sister Golden Hair,America,135,12B,55,2025-07-26,03:19,74,"yacht rock, soft rock, folk rock","Folk, Rock, Pop",Hearts,1975-00-00,44,13,0,72,0,10,-12,E,4,5VSAonaAPhhGn0G7hMYwWK,Rhino,USWB19901801,Angel
95,Stained Glass,Danny Schmidt,130,10A,14,2025-07-30,06:38,27,southern gothic,,Parables and Primes,2005-07-12,45,82,0,35,0,10,-14,B minor,3,4I4QfuZah9m8YMBfCXtodi,Live Once Records,USI4R0503869,Sam
96,Mental [Feat. Saul Williams & Bridget Perez],"Denzel Curry, Saul Williams, Bridget Perez",170,3B,58,2025-07-30,02:26,51,"spoken word, experimental hip hop, alternative hip hop, jazz rap","Hip Hop, Jazz, Easy Listening",Melt My Eyez See Your Future,2022-03-25,46,38,1,43,20,60,-11,C♯/D♭,4,3rMQe2is2UAxuhtFjRyYyz,Loma Vista Recordings,USC4R2211729,Bryce
97,endlessly,Chanpan,164,9A,89,2025-07-31,03:02,65,,,endlessly,2025-06-25,65,17,77,54,0,10,-5,E minor,4,0xsACxtkQkj3tCkmg0ZPUX,Uncharted,QMBZ92503130,Jean
98,lost + found,Ezekiel,173,4A,73,2025-07-31,01:55,25,"hyperpop, breakcore","Electronic, Pop",lost cat,2024-09-20,48,0,0,40,0,70,-9,F minor,4,1JV5pArfVvNfkrc9JUtFLE,Ezekiel,QZK6H2426712,Jean
99,Where the Heart Is,Sweet Pill,103,10B,83,2025-07-31,02:31,48,"midwest emo, math rock",Rock,Where the Heart Is,2022-05-25,61,0,0,63,0,10,-6,D,4,2J6vC0xW1gEaP1aEeL4Lrx,Topshelf Records,USEZ62225601,Jean
100,Perfect Pillow,Chon,116,9B,92,2025-08-01,03:35,11,"math rock, djent, progressive metal, progressive rock","Metal, Rock",Grow,2015-00-00,43,1,65,56,0,10,-5,G,4,2XTqQonzaaVAhwaRw7mzKg,Sumerian Records,USYFZ1558910,Jean
101,I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",125,2A,74,2025-01-01,04:06,77,,,"Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)",2020-12-18,49,0,0,13,0,0,-7,D#/E♭ minor,4,7mykoq6R3BArsSpNDjFQTm,Lakeshore Records,USLS52081705,Miller
102,Thought You Should Know,Sip Sip Bubbleheads,126,8A,61,2025-01-01,02:47,23,,,Social Echoes - EP,2015-12-21,78,3,2,96,0,0,-5,A minor,4,7sW9KMwIz1t2CbTvHsnPmQ,Selectracks / BMG Production Music,US3DF1600486,Miller
103,"Requiem, K. 626: IIIf. Lacrimosa","Wolfgang Amadeus Mozart, The Monteverdi Choir, English Baroque Soloists, John Eliot Gardiner",147,10B,8,2025-01-01,02:50,51,"classical, opera, classical piano, chamber music, concerto, choral, baroque",Classical,Mozart: Requiem; Kyrie in D minor,1987-01-01,16,98,13,5,0,10,-21,D,3,4ATc4is1rQb7PgKqtOdDnR,Decca Music Group Ltd.,NLA508542008,Shelbie
104,Selfhug Biglove,Yuinishio,91,11B,83,2025-01-01,03:47,22,"anime, japanese indie, j-pop","Pop, Rock",Selfhug Biglove,2023-01-11,69,8,0,77,0,30,-5,A,4,644uk2f8dAJCvxly8s20St,"Nippon Columbia Co., Ltd./NIPPONOPHONE",JPCO02227730,Shelbie
105,"Erlkönig, D. 328","Franz Schubert, Bryn Terfel, Malcolm Martineau",131,4A,17,2025-01-01,04:23,19,"chamber music, classical, classical piano, opera, classical crossover, choral",Classical,The Art of Bryn Terfel,2012-01-01,33,99,1,16,0,10,-21,F minor,4,4oomOHx8NgPq2flBcGxtxD,Deutsche Grammophon (DG),DEF059402110,Puffy
106,Grave Digger,Blues Saraceno,91,9A,47,2025-01-01,03:35,0,"southern gothic, blues rock, country rock, country blues","Blues, Rock, Country",Dark Country 3,2014-05-06,58,22,0,35,0,10,-12,E minor,4,4NFzce1mEWP01qTtHhsmgo,Extreme Music,GBBPP1407203,Puffy
107,Something Comforting,Porter Robinson,144,4B,56,2025-01-02,04:41,43,"edm, electronic",Electronic,Nurture,2021-04-23,47,4,0,29,0,0,-10,G#/A♭,4,5g7bsxCqNaucnXpexUoHg8,Mom+Pop,USQE92000002,TJ
108,Love You Back,Madeon,106,1B,72,2025-01-02,03:34,35,"edm, french house, electropop","Electronic, Pop",Love You Back,2022-04-27,51,0,0,27,0,0,-7,B,4,5wM6LOw2U6XeIFHfsgI6wU,Mom+Pop,USQE92200030,TJ
109,Impulse,An Endless Sporadic,100,11A,76,2025-01-03,04:25,41,progressive metal,Metal,Ameliorate,2008-07-07,51,7,92,53,0,10,-7,F#/G♭ minor,4,2pA1EyG0yjSbSoYJM4O16I,An Endless Sporadic,USTC50895203,Angel
110,La Camisa Negra,Juanes,97,11A,73,2025-01-03,03:36,75,"latin pop, colombian pop, rock en español","Latin, Pop, Rock",Mi Sangre,2004-01-01,75,8,0,97,0,0,-4,F#/G♭ minor,4,2EM9zpAc7PVeoAydmbfVIL,National Own (UC),USUL10400965,Angel
111,Sick On Seventh Street,Sarah and the Safe Word,120,10B,56,2025-01-11,03:03,41,,,Good Gracious! Bad People.,2020-10-30,66,24,0,66,0,0,-6,D,4,3vO0kLVEB9zatBcVdSRkPh,Take This To Heart,USF283065002,Gabe
112,The Thief and the Moon,Shawn James,154,11A,38,2025-01-11,03:10,45,southern gothic,,Shadows,2012-08-19,28,63,0,29,0,10,-4,F#/G♭ minor,3,6vRiJnUvfc4ZdpEkedxfVv,Shawn James Soul Inc,USHM81263730,Gabe
113,D City Rock feat. Debra Zeer,"TeddyLoid, Debra Zeer",135,6B,76,2025-01-11,04:32,43,vocaloid,Electronic,Panty & Stocking with Garterbelt　The Original Soundtrack,2010-12-29,62,11,0,62,0,40,-5,A#/B♭,4,30kpqo2lUMRZcn9CwRXNPR,FlyingDog,JPG751000882,Sarah
114,Save It For Later,The English Beat,130,10B,72,2025-01-12,03:33,1,"ska, new wave","Pop, Rock, Reggae",Special Beat Service (Remastered),1982-00-00,62,3,5,72,0,30,-10,D,4,5rBOBI3INEw0u0rwNNGib5,Shout! Factory Records,USSE91232692,Clark
115,(Nothing But) Flowers - 2005 Remaster,Talking Heads,121,9A,84,2025-01-12,05:32,47,"new wave, post-punk","Pop, Rock",Naked,1988-03-15,60,5,0,91,0,20,-5,E minor,4,4oEKgLZ8uTSioNKuO8Kydu,Rhino/Warner Records,USWB10503061,Clark
116,trucking,Linus,140,5B,32,2025-01-12,06:17,5,"shoegaze, screamo","Metal, Rock",Andromeda,2024-10-31,48,15,90,26,0,10,-12,D#/E♭,4,5pWtiWdLBudSiHpeXpjSod,pleasure tapes & texas heart,QZWFH2498817,Tony
117,I Don't Love You Anymore,Bomb the Music Industry!,137,8B,95,2025-01-12,04:41,37,"folk punk, ska punk, ska, anti-folk, skate punk","Folk, Rock, Reggae",Get Warmer,2007-09-11,38,24,0,53,0,70,-4,C,4,5jEerj0iPqRiud1nIouUoX,ASIAN MAN RECORDS,USB750700150,Tony
118,keys make noise,Ezekiel,156,10A,83,2025-01-12,02:20,20,"hyperpop, breakcore","Electronic, Pop",keys make noise,2023-08-11,63,2,0,76,0,10,-5,B minor,4,3XNVBgEgIxoipF0XL1BDwF,sped up/slowed down,USWB12303585,Jean
119,t r a n s p a r e n t s o u l feat. Travis Barker,"WILLOW, Travis Barker",90,10A,83,2025-01-12,02:48,63,rap rock,"Hip Hop, Rock",t r a n s p a r e n t s o u l feat. Travis Barker,2021-04-27,39,0,0,19,0,10,-5,B minor,4,1QL7nSDZCwZMnbisV4KOXt,"MSFTSMusic / Roc Nation Records, LLC",QMJMT2103571,Jean
120,I Must Apologise,PinkPantheress,157,11B,86,2025-01-12,01:48,74,bedroom pop,Pop,to hell with it,2021-10-15,62,52,7,75,0,20,-6,A,4,2rrq3SGYxk90xLx5fMmPhZ,Parlophone UK,GBAYE2101300,Micah
121,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",80,3B,81,2025-01-12,04:15,81,"rap, hip hop",Hip Hop,CHROMAKOPIA,2024-10-28,51,28,0,66,40,40,-4,C♯/D♭,4,3tFed7YsjGnIfxeLEQwx3R,Columbia,USQX92405790,Micah
122,Walkin,Denzel Curry,136,10A,65,2025-02-01,04:40,66,,,Melt My Eyez See Your Future,2022-03-25,56,13,0,39,20,20,-7,B minor,4,1q8DwZtQen5fvyB7cKbShC,Loma Vista Recordings,USC4R2211725,Bryce
123,Bad Luck Charm,Jeff Williams,92,11B,81,2025-02-01,03:37,0,anime,Pop,"RWBY, Vol. 4 (Music from the Rooster Teeth Series)",2017-06-16,39,0,0,30,0,0,-8,A,4,40UOHg5vI8H5oGuN9uQdGl,Rooster Teeth Music,TCADC1731754,Bryce
124,I Am The Man Thomas,The Devil Makes Three,125,9B,70,2025-02-01,02:39,0,"bluegrass, southern gothic, newgrass, americana, folk punk, alt country, folk, country blues","Country, Rock, Folk, Blues",Redemption & Ruin,2016-09-16,68,75,0,48,0,0,-7,G,4,2a3JYsfxG551Cwv1zWZChp,New West Records,US27Q1663558,Miller
125,Sam,Sturgill Simpson,101,8B,19,2025-02-01,01:12,59,"outlaw country, alt country, bluegrass, americana, red dirt, country, newgrass","Country, Rock, Folk",The Ballad of Dood & Juanita,2021-08-20,71,97,0,65,10,10,-11,C,4,1kKDVYavcoEH5N6R6ezM6T,High Top Mountain Records,QM6P42150683,Miller
126,All Falls Down,"Kanye West, Syleena Johnson",91,1A,73,2025-02-01,03:43,84,"rap, neo soul","R&B, Hip Hop",The College Dropout,2004-02-10,66,15,0,43,40,10,-5,G#/A♭ minor,4,5SkRLpaGtvYPhw02vZhQQ9,Roc-A-Fella,USDJ20301703,Micah
127,November Has Come,"Gorillaz, MF DOOM",84,9B,57,2025-02-01,02:45,68,"experimental hip hop, east coast hip hop, jazz rap, alternative hip hop","Hip Hop, Jazz",Demon Days,2005-05-23,70,8,0,67,20,0,-9,G,4,6lrDckuosGpwEHtm1hHBcf,Parlophone UK,GBAYE0500175,Micah
128,Dance Five,Arkady Shilkloper,78,6B,5,2025-02-01,04:02,0,ambient jazz,,Pilatus,2000-07-01,58,99,94,81,10,10,-19,A#/B♭,1,2Z7kg1i8RSfLUvZwqT62s3,Jaro Records,DEA710514970,Shelbie
129,I Can't Leave My Room,"Nalba, Chevy, Park Bird",110,6B,41,2025-02-01,03:02,36,,,I Can't Leave My Room,2020-08-01,88,77,0,72,0,20,-8,A#/B♭,4,2lF93k8iNxCTIKh0Zhey8j,Nalba & Chevy,QZHNB2079724,Shelbie
130,Le cambie el nombre,Pan de Dulce,135,8B,42,2025-02-01,02:49,18,latin indie,"Latin, Rock",Chequea Mi Máquina,2023-02-10,84,63,0,50,0,10,-10,C,4,74yBYbqF8TLaEnLF5T5kdn,La Mata Records,USCGH2386353,Angel
131,Pleasantries (With Your Lover),Mustard Service,134,12B,78,2025-02-01,03:23,43,,,C'est la Vie,2020-03-23,61,2,0,20,0,10,-5,E,4,1BnQsuVAqdQSorYqCNwTvs,Mustard Service,QZDA51925014,Angel
132,Norf Norf,Vince Staples,100,9B,55,2025-02-01,03:03,63,,,Summertime '06,2015-06-30,93,40,0,9,0,10,-7,G,4,4uQ7wYsuL0DryknoDc11Hk,Def Jam Recordings,USUM71507721,Theresa
133,The Recipe - Bonus Track,"Kendrick Lamar, Dr. Dre",131,12A,78,2025-02-01,05:52,65,"hip hop, west coast hip hop, old school hip hop, g-funk, gangster rap, rap","Hip Hop, R&B","good kid, m.A.A.d city (Deluxe)",2012-00-00,76,0,0,50,0,30,-7,C♯/D♭ minor,4,1eRBW1HcyM1zPlxO26cScZ,Aftermath,USUM71203149,Theresa
134,Fly Me to the Earth,Wallace Collection,141,2B,61,2025-02-01,02:52,23,baroque pop,"Classical, Pop",Laughing Cavalier,1969-01-01,44,7,0,43,0,20,-5,F#/G♭,4,3drKEw3spxFHMC3Geh4ZIi,Rhino,GBAYE0902798,Clark
135,Guajira Sicodelica,Los Destellos,135,10A,88,2025-02-01,03:33,34,"chicha, cumbia, electrocumbia","Latin, Traditional Music",Enrique Delgado,2018-11-01,75,9,12,88,0,30,-5,B minor,4,4x4GKtgrjYx3oBb7rRKJ6U,Iempsa,FR96X1895016,Clark
136,Snake Eater,Cynthia Harrell,180,11A,52,2025-02-03,02:57,61,,,METAL GEAR 20th ANNIVERSARY METAL GEAR MUSIC COLLECTION,2007-07-18,27,27,0,27,0,10,-9,F#/G♭ minor,4,2e3g8go386Zn6EyIz60Ci9,"Konami Digital Entertainment Co.,Ltd.",JPM200400454,Puffy
137,Sailor Song,Gigi Perez,95,1B,41,2025-02-03,03:31,87,,,Sailor Song,2024-07-26,49,68,0,27,0,10,-10,B,4,2262bWmqomIaJXwCRHr13j,Gigi Perez PS/ Island,USHM92438095,Sarah
138,Star Trails,Derivakat,170,6A,79,2025-02-03,04:20,35,,,Star Trails,2025-01-24,46,8,0,26,0,30,-5,G minor,4,1Z1lrO5QBASaZqEOzUs12b,Derivakat Music,TCAJE2531584,Sarah
139,It's Okay...,what is your name?,144,12B,93,2025-02-03,04:23,35,shoegaze,Rock,My Name Is...,2023-09-13,37,0,13,43,10,50,-6,E,3,2mHmttqCxUtYEOJO10czhf,5 AM Records,QZTAW2381736,Tony
140,Chant This Charm ～Theme Of Giant Egg～,"SEGA SOUND TEAM, Mariko Nanba, YUKARI FRESH",82,3B,76,2025-02-03,05:20,16,"japanese vgm, soundtrack, shibuya-kei, japanese indie","Pop, Rock, Electronic, Classical, Easy Listening",Billy Hatcher and the Giant Egg Original Soundtrack ”Music Popped Out of The Egg”,2003-11-06,41,2,0,84,0,10,-5,C♯/D♭,4,5DGfDHCZlYx6D4tr5x6PeX,SEGA MUSIC,JPX300300400,Tony
141,YKWIM?,Yot Club,124,11B,54,2025-02-04,03:32,78,bedroom pop,Pop,Bipolar,2019-05-31,37,94,87,23,0,20,-8,A,3,2vWBUC9djv6BtiGlmKiQaH,Yot Club under exclusive license to Amuseio AB,CAGOO1966522,Puffy
142,Mia & Sebastian’s Theme,Justin Hurwitz,117,11B,19,2025-02-10,01:38,70,score,,La La Land (Original Motion Picture Soundtrack),2016-12-09,48,98,93,11,0,10,-16,A,3,1Vk4yRsz0iBzDiZEoFMQyv,UMGRI Interscope,USUG11600660,TJ
143,erase me (feat. Jacob Collier),"Lizzy McAlpine, Jacob Collier",93,11A,45,2025-02-10,03:34,48,,,five seconds flat,2022-04-08,42,58,0,31,0,10,-9,F#/G♭ minor,4,57Z4ecZTqs7ig9nWY7xoou,Harbour Artists & Music,GBKPL2170841,TJ
144,No Fear No More (Remix),"Madeon, EARTHGANG",96,3A,64,2025-02-22,02:54,39,"edm, french house, electropop","Electronic, Pop",No Fear No More (Remix),2020-07-07,60,1,0,80,10,30,-7,A#/B♭ minor,4,36X1P3v7N1dv06bh2aPtMF,Madeon Productions,USANG2073413,Jean
145,Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",101,12A,74,2025-02-22,03:59,75,"hip hop, west coast hip hop",Hip Hop,Mr. Morale & The Big Steppers,2022-05-13,78,32,0,36,20,10,-8,C♯/D♭ minor,4,2g6tReTlM2Akp41g0HaeXN,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,USUM72208965,Jean
146,anemoia,Oliver Buckland,84,3B,52,2025-02-26,02:02,48,,,anemoia,2023-01-27,17,33,65,13,0,10,-10,C♯/D♭,4,7t1YmdBxp90g4OHNMOUcdI,Oliver Buckland,QZKDK2343764,Theresa
147,Rain in Space,Ear Candy Jazz Factory,93,4A,59,2025-03-03,05:47,21,jazz fusion,"Electronic, Jazz, Rock",Tangerine Peel Jam,2019-02-27,63,64,85,75,0,10,-11,F minor,4,4cqHikdb2TaehHTSBfc08p,Key Rei Jazz,JPZ921814864,Angel
148,Doesn't Make You Right,Dirty Heads,172,6A,61,2025-03-01,04:22,0,"reggae rock, reggae","Reggae, Rock",Dirty Heads,2016-07-15,68,20,0,43,10,70,-6,G minor,4,7y2RoHNhrToMvCOXQpkS8C,Five Seven Music,USDPK1600075,Gabe
149,Toothache,Westislonely,130,1B,56,2025-03-01,03:06,40,,,Toothache,2023-12-01,52,51,0,29,0,10,-5,B,4,0AyKfB8CNXhohSuOfenvpO,RCA Records Label,GBARL2301699,Gabe
150,DENIAL IS A RIVER,Doechii,93,11A,64,2025-03-02,02:39,79,,,Alligator Bites Never Heal,2024-08-30,83,9,0,62,30,0,-3,F#/G♭ minor,4,1eTaznNW4Xxtx9za2SMTXB,Top Dawg Entertainment/Capitol Records,USUG12405664,Micah
151,You Can Say Hi,Soia,93,5A,68,2025-03-02,03:45,42,,,You Can Say Hi,2013-04-08,55,16,0,35,30,10,-9,C minor,4,0BkulSzcAkMF1VQeLBFrte,Record Breakin Music,USQNW2022511,Micah
152,Greatdayndamornin'/Booty (Medley),D'Angelo,83,12A,45,2025-03-02,07:35,0,neo soul,R&B,Voodoo,2000-01-25,81,13,4,60,20,0,-11,C♯/D♭ minor,4,3yFTG9CQTdlDwsAfha6CqM,Virgin Records,USVI29900249,Shelbie
153,Djobi Djoba,Gipsy Kings,108,7B,95,2025-03-02,03:24,47,flamenco,"Folk, Traditional Music",Gipsy Kings,1988-11-08,73,70,0,82,0,20,-9,F,4,38MBgJc4k6LXvzvlD2tnEx,Nonesuch,USN018884508,Shelbie
154,INVISIBLE,Duran Duran,114,9B,87,2025-03-02,03:11,73,"new wave, synthpop","Pop, Rock, Electronic",FUTURE PAST,2021-10-22,65,12,0,34,10,40,-2,G,4,51EpFns3CG9taCMQz6XDom,BMG Rights Management (US) LLC,QMRSZ2101004,Miller
155,Elsa’s Song,The Amazing Devil,121,12A,5,2025-03-02,02:41,43,,,Love Run,2016-06-27,60,80,0,11,10,30,-22,C♯/D♭ minor,4,5jZnnHPY4HqDAMkqi9WMSM,The Amazing Devil,UKFHL1600005,Miller
156,Ricochet - 2018 Remaster,David Bowie,102,9B,85,2025-03-02,05:13,38,"glam rock, art rock",Rock,Let's Dance (2018 Remaster),1983-04-14,66,14,0,74,0,0,-7,G,3,04pkbLDMnaQdx4kV9bbuV4,Parlophone UK,USJT11700484,Puffy
157,Shadow Man,"Noname, Smino, Phoelix, Saba",93,5A,45,2025-03-02,05:11,49,alternative r&b,"Pop, R&B",Telefone,2016-07-31,65,47,0,45,10,10,-7,C minor,4,0EN4QjJqiAufEh6g4xPNvC,Noname,TCACR1618955,TJ
158,Amphetamine,Smino,120,7B,53,2025-11-24,07:49,57,,,blkswn,2017-03-14,62,72,0,40,50,10,-10,F,4,3Zau3JcrZcBfw8aVjKGkSX,Downtown JV,USUG11700177,TJ
159,中庭の少女たち,SHISHAMO,175,12B,84,2025-03-03,05:10,50,"japanese indie, j-rock, j-pop","Pop, Rock",SHISHAMO 3,2016-03-02,47,0,0,85,0,10,-4,E,4,1YrU8ExqF04ygegVoOOoFU,Universal Music LLC,JPD001400292,Angel
160,Oh My God,Adele,88,3B,73,2025-03-03,03:45,74,soft pop,Pop,30,2021-11-19,53,9,0,55,0,0,-4,C♯/D♭,4,3Kkjo3cT83cw09VJyrLNwX,Columbia,USSM12105973,Hannah
161,SUN GOES DOWN,Lil Nas X,174,11B,65,2025-03-03,02:48,20,,,MONTERO,2021-09-17,55,8,0,13,0,10,-7,A,4,5KwtjazkcM6dYT5cuPB0FN,Columbia,USSM12102220,Hannah
162,Here Come the Rome Plows,Drive Like Jehu,96,9B,100,2025-03-06,05:44,31,"noise rock, post-hardcore, math rock, mathcore, screamo","Rock, Metal",Yank Crime,1994-00-00,14,0,85,9,10,10,-6,G,4,2VaZ98xvuFoOwlzqAedqUZ,Swami,US2850411501,Tony
163,64,Guitar Fight from Fooly Cooly,172,7B,55,2025-03-06,01:20,22,"midwest emo, math rock, screamo, emo","Rock, Metal",Soak,2020-08-14,15,0,24,62,0,10,-5,F,4,4PXbgo0YMetIQxqBDpbGgx,997592 Records DK,QZK6M2017836,Tony
164,Bourbon Street,Jeff Tuohy,174,9A,73,2025-03-08,02:49,41,southern gothic,,Cocoon,2009-03-13,62,4,0,94,0,0,-5,E minor,4,09rAqsUGWjqNEHna4aXBrk,Karma Records Entertainment,USTJU0900012,Gabe
165,Eat My Words,PrettyUgly,165,1A,91,2025-03-08,03:10,35,,,Eat My Words,2023-11-03,41,0,0,66,10,0,-4,G#/A♭ minor,4,1Lp7vOBdE1qXhhY11OG4qh,2023 PrettyUgly,QZTVM2371919,Gabe
166,reincarnated,Kendrick Lamar,91,9B,78,2025-03-16,04:35,71,"hip hop, west coast hip hop",Hip Hop,GNX,2024-11-22,85,5,0,75,20,30,-5,G,4,0RgjEkSbeuStKfT2Pa4Zai,"pgLang, under exclusive license to Interscope Records",USUG12408500,Bryce
