 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Contributor
167,Dragonball Durag,Thundercat,81,10B,59,2025-03-16,03:01,62,,,It Is What It Is,2020-04-03,65,70,81,40,0,10,-10,D,4,7eWGnKg4B44sbBPpQp4y2c,Brainfeeder,GBCFB2000018,Bryce
168,Origami,The Rare Occasions,130,1B,80,2025-03-19,02:54,63,,,Big Whoop,2021-06-18,48,1,1,63,0,20,-6,B,4,3qpyxgH65qNhJ9hLS2gWrS,The Rare Occasions,USANG2189717,Jean
169,Remember Me (from the series Arcane League of Legends),"Arcane, d4vd",131,5A,59,2025-03-19,02:02,68,score,,Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),2024-11-23,48,13,39,37,0,20,-8,C minor,4,2fQwoYSzWzChmIB2zZwrGL,Riot Games,USA2P2459595,Jean
170,BLOODBATH,"6arelyhuman, asteria",148,10A,92,2025-03-22,02:12,56,hyperpop,"Electronic, Pop",BLOODBATH,2025-01-29,40,0,0,43,10,70,-2,B minor,4,30IcVPNfNfWeEqbSzQhMi6,"Artist Partner Group, Inc.",QZZ4J2500030,Sarah
171,Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme",88,9A,60,2025-03-22,02:27,77,"score, french pop",Pop,Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),2024-11-23,68,0,0,37,10,20,-8,E minor,4,2LwsunYgfRoqyIsNtgOCQx,Riot Games,USA2P2459602,Sarah
172,WINDY SUMMER,Anri,107,10B,76,2025-03-31,04:06,59,"city pop, j-pop, kayokyoku",Pop,Timely!!,1983-12-05,65,18,0,84,0,10,-5,D,4,7fgmo2cHGzWLexkRhBeECj,"FOR LIFE MUSIC ENTERTAINMENT,INC.",JPFL08310240,Eunice
173,Where You Go,Meldrop,110,10B,52,2025-04-03,03:17,40,,,Meldrop,2023-12-23,68,72,0,53,0,20,-11,D,4,4ZPkW8kj32cbdSEmzo6vTY,Meldrop,QZNN22396595,Angel
174,track 02,Flight by Nothing,155,5B,80,2025-04-03,02:42,11,,,BACK FOR MORE,2023-08-11,58,2,0,93,0,0,-5,D#/E♭,4,1RDOW4HrSrLgOB4SqSCfup,Flight By Nothing,QZNWQ2357254,Angel
175,Picture Window,Japanese Breakfast,108,8B,73,2025-04-03,02:58,49,,,For Melancholy Brunettes (& sad women),2025-03-21,68,15,13,58,0,10,-7,C,4,02olsPYJypEE0IyuaGS4K4,Dead Oceans,USJ5G2442507,Tony
176,Stay Golden,Combat,108,3B,93,2025-04-03,01:58,34,midwest emo,Rock,Stay Golden,2024-08-16,49,0,26,66,0,10,-3,C♯/D♭,4,3LDShVeLxQkQldsomd0n2k,Counter Intuitive Records,QM6N22473072,Tony
177,Love the Subhuman Self,"AISHA, Jamison Boaz, Arc System Works",138,9B,99,2025-04-03,05:08,51,,,GUILTY GEAR -STRIVE- ORIGINAL SOUND TRACK VOL.1,2021-10-01,50,0,0,17,20,40,-3,G,4,7gESuiigF7GFFYIApfUBk5,ARC SYSTEM WORKS,TCJPP2140731,Bryce
178,Anything For You,Ludo,108,12B,73,2025-04-05,03:23,37,,,Prepare The Preparations,2010-01-01,69,24,0,67,0,10,-8,E,4,6o5sSlAsvLcPdrK7HFxXp3,Island Def Jam,USUM71016825,Miller
179,Voldemort,With Confidence,103,6A,95,2025-04-05,03:00,49,pop punk,"Pop, Rock",Better Weather,2016-06-17,54,0,0,75,0,70,-4,G minor,4,27oxSfW0iib7w0NG4zf9Fp,Hopeless Records,USHR21610112,Miller
180,Blu,Jon Bellion,132,8B,47,2025-04-10,03:03,52,,,Glory Sound Prep,2018-11-09,38,29,0,64,0,30,-9,C,4,4FUDWkguOUVpLRAVn5C20z,Capitol Records,USUM71817097,TJ
181,WASH,Jon Bellion,140,8B,55,2025-04-10,03:39,50,,,WASH,2025-03-21,48,6,0,20,0,10,-4,C,4,6KPtG0aIKnSqszstXgH2NS,Jon Bellion,USA2P2505006,TJ
182,Your Teeth In My Neck,Kali Uchis,116,2A,60,2025-04-10,03:06,68,,,Isolation,2018-04-06,85,7,0,86,0,10,-6,D#/E♭ minor,4,54IbnYEdA3ymfxv07WgN3b,EMI,GBUM71702547,Micah
183,Chicago,Michael Jackson,176,6A,76,2025-04-10,04:05,84,,,XSCAPE,2014-05-09,61,8,0,55,10,10,-3,G minor,4,5BKKy9fIJL5uM9fz1SnqyP,Epic/MJJ,USSM11401745,Micah
184,リズと青い鳥 第三楽章「愛ゆえの決断」,北宇治高校吹奏楽部,71,7A,14,2025-04-11,06:27,1,brass band,"Classical, Traditional Music","映画『リズと青い鳥』オリジナルサウンドトラック「girls,dance,staircase」",2018-04-25,18,91,91,4,0,10,-17,D minor,4,04XhdVM3q2qPusWPEmg95c,Lantis,JPI101801198,Shelbie
185,Long Time Sunshine,Weezer,136,5B,34,2025-06-09,04:17,39,alternative rock,Rock,Pinkerton - Deluxe Edition,1996-09-24,37,76,20,32,0,10,-9,D#/E♭,4,2pY4j2aJ5nyw0IjhgpeAEW,Geffen,USUM71022560,Shelbie
186,Just like Heaven,The Cure,151,11B,97,2025-04-12,03:32,73,"new wave, post-punk, gothic rock, darkwave","Electronic, Rock, Pop","Kiss Me, Kiss Me, Kiss Me",1987-05-25,43,3,0,76,0,10,-4,A,4,76GlO5H5RT6g7y0gev86Nk,Rhino/Elektra,USEE18700009,Sarah
187,Stacy's Mom,Fountains Of Wayne,118,10A,75,2025-04-12,03:17,74,power pop,"Pop, Rock",Welcome Interstate Managers,2003-01-01,77,0,0,93,0,0,-5,B minor,4,27L8sESb3KR79asDUBu8nW,S-Curve Records,USESC0300016,Sarah
188,"무제(無題) (Untitled, 2014)",G-DRAGON,80,12B,46,2025-04-15,03:42,66,"k-pop, k-rap","Pop, Hip Hop",KWON JI YONG,2017-06-08,58,79,0,26,0,10,-5,E,4,16BS342F89MDqouSxgLaUK,YG Entertainment,KRA401700147,Kathryn
189,Run BTS,BTS,77,4B,82,2025-04-15,03:24,76,k-pop,Pop,Proof,2022-06-10,72,2,0,70,10,0,-4,G#/A♭,4,69xohKu8C1fsflYAiSNbwM,BIGHIT MUSIC,USA2P2226298,Kathryn
190,Just Right,GOT7,96,10A,78,2025-04-15,03:42,61,k-pop,Pop,Just Right,2015-07-13,76,23,0,74,0,10,-3,B minor,4,16dL6zhP5MLxEwX8sbqCOa,Republic Records - JYP Entertainment,US5TA1500041,Kathryn
191,VERY NICE,SEVENTEEN,122,2A,90,2025-04-15,03:12,68,k-pop,Pop,Love&Letter repackage album,2016-07-04,75,5,0,88,0,0,-3,D#/E♭ minor,4,1Rrj7KyS2R6SP9CQMDJW1w,PLEDIS ENTERTAINMENT,KRA381601262,Kathryn
192,Daechwita,Agust D,145,4B,83,2025-04-15,03:45,74,"k-pop, k-rap","Pop, Hip Hop",D-2,2020-05-22,65,2,0,22,0,10,-4,G#/A♭,4,0JKGe340YJwfDrpXqPQ8sw,BIGHIT MUSIC,QM6N22036182,Kathryn
193,moonchild,RM,158,8A,87,2025-04-15,03:25,61,"k-pop, k-rap","Pop, Hip Hop",mono.,2018-10-23,50,3,0,19,20,0,-6,A minor,4,6BnciRM9jyEP9cEjvoN5eI,BIGHIT MUSIC,QM6P41828292,Kathryn
194,She's In The Rain,The Rose,93,5B,54,2025-04-15,03:57,60,"k-rock, k-pop","Pop, Rock",Dawn,2018-10-04,51,37,0,41,0,0,-4,D#/E♭,4,43NeZM2TbrQr6djoAnDyVo,㈜RBW,KRMIM1809544,Kathryn
195,Welcome To Jamrock,Damian Marley,77,10B,71,2025-04-15,03:33,60,"reggae, ragga, roots reggae","Hip Hop, Reggae",Welcome To Jamrock,2005-01-01,84,3,0,78,30,30,-5,D,4,4PvVHAkONOaS6v4wgONGYZ,Universal Records/Tuff Gong Records,USUM70502070,Gabe
196,The Moss,Cosmo Sheldrake,128,12A,51,2025-04-15,04:02,55,,,The Moss,2014-03-14,62,68,0,44,0,10,-6,C♯/D♭ minor,4,4NaGY243CJk0aNbxvgLBQJ,Transgressive Records,GBKZV1424960,Gabe
197,fine (haste),kurffew,193,7B,93,2025-04-16,02:11,30,,,fine,2023-11-30,39,9,11,57,0,20,-6,F,4,1wMignpvHaJvwDPlqWKXkG,kurffew,QZWFH2340421,Jean
198,Chest Pain (I Love),Malcolm Todd,150,9A,49,2025-04-16,03:20,77,,,Malcolm Todd,2025-04-04,61,26,0,37,0,30,-8,E minor,3,2XUx8PCXGpP1XhZJMGiUol,Columbia,USSM12409404,Jean
199,Alarm Call,The Correspondents,80,8A,64,2025-04-16,04:40,19,electro swing,"Electronic, Jazz",Puppet Loosely Strung,2014-03-14,51,5,0,11,0,0,-8,A minor,4,3uMGygzTNCOwnSPLnqydBM,Central Station Records,AUCN31206660,Puffy
200,No Church In The Wild,"JAY-Z, Kanye West, Frank Ocean, The-Dream",93,1A,75,2025-04-16,04:32,76,"hip hop, east coast hip hop, rap, r&b","Hip Hop, R&B",Watch The Throne,2011-08-08,65,24,2,56,10,10,-8,G#/A♭ minor,4,7r6PigmGzlB3YPB7wvBBbi,Roc Nation/RocAFella/IDJ,USUM71111617,Puffy
201,First Rate Town,Good Kid,92,1B,99,2025-08-01,02:02,54,,,First Rate Town,2023-01-27,44,0,0,89,0,30,-4,B,4,1P59E9uaeejHQ5xu0EG4p6,Good Kid Music Inc.,QMFME2264385,Jean
202,Shinunoga E-Wa,Fujii Kaze,158,11A,76,2025-08-06,03:05,77,j-pop,Pop,HELP EVER HURT NEVER,2020-05-20,60,17,0,52,0,10,-6,F#/G♭ minor,4,0o9zmvc5f3EFApU52PPIyW,Universal Music LLC,JPPO02000610,TJ
203,ひまわりの約束,Motohiro Hata,79,6B,45,2025-08-06,05:08,64,"j-pop, anime",Pop,青の光景,2015-12-16,52,19,0,34,0,10,-6,A#/B♭,4,45jGOHwYKgsRYbAJ8DR61d,Universal Music LLC,JPU901400745,TJ
204,You Don't Know The Shape I'm In,MJ Lenderman,122,11A,47,2025-08-07,03:36,58,alt country,"Country, Rock",Manning Fireworks,2024-09-06,74,58,3,55,0,10,-12,F#/G♭ minor,4,1ZBQPkEYHOv3LfgU6v0h0S,Anti/Epitaph,USEP42405006,Tony
205,Sometimes,Mannequin Pussy,87,3B,95,2025-08-07,03:27,49,"riot grrrl, queercore, indie punk",Rock,I Got Heaven,2024-03-01,50,0,2,32,0,0,-6,C♯/D♭,4,2hVbai5ZN5yykTbSteAPKy,Epitaph,USEP42344005,Tony
206,American,Frog,158,3A,83,2025-08-07,03:12,27,,,Whatever We Probably Already Had It,2018-11-30,38,1,21,39,10,10,-8,A#/B♭ minor,4,0h37X7J1ilI7wFYLCRgOTD,Audio Antihero,GB4XS1800059,Tony
207,Domestic Thought Experiment,Shagg Carpet,90,9B,79,2025-08-07,03:51,2,egg punk,Rock,Domestic Thought Experiment,2025-06-11,43,8,71,58,0,30,-8,G,4,30CxbEouGpnF9aDAcIbnO3,M.E.C. RECS & Sockhead Records,QZTB22525090,Tony
208,Cents Cents Money Money,Blowout,200,9B,87,2025-08-07,02:34,0,"riot grrrl, midwest emo, queercore, math rock, indie punk",Rock,"No Beer, No Dad (Redux)",2020-01-09,44,1,0,78,0,0,-4,G,4,7fTSouGcePc6eJo0I381Hu,Lauren Records,USA2P1961130,Tony
209,Big Sea,Crash Of Rhinos,81,8B,76,2025-08-07,06:18,22,"midwest emo, math rock, emo, screamo","Rock, Metal",Distal,2010-01-01,12,1,2,23,0,30,-9,C,4,5UFzXWYvju4bkxixKI1xxJ,Brave or Invincible Records,GB-SMU-10-22886,Tony
210,It's Time,Truth Club,97,10B,82,2025-08-07,03:15,35,,,It's Time,2023-01-17,55,1,77,67,0,20,-8,D,3,5geQYZg1Lf3Le3iFfqqfQU,Sipsman,USA2B2213407,Tony
211,Olive Garden,PUP,114,7A,87,2025-08-07,01:52,36,"midwest emo, indie punk, emo, punk",Rock,Who Will Look After The Dogs?,2025-05-02,47,0,0,23,0,30,-5,D minor,4,69zDL7sUAbceYWtOlb3ek7,Rise Records,QMRSZ2402032,Tony
212,Friends,Jesse Welles,79,12B,31,2025-08-09,04:12,39,"folk punk, folk","Folk, Rock",Friends,2025-05-09,61,87,0,60,0,10,-10,E,4,5sofFSrkePZcVFmtvNyOBl,Jesse Welles,QM24S2502384,Miller
213,The Poor,Jesse Welles,98,4B,43,2025-08-09,02:45,52,"folk punk, folk","Folk, Rock",The Poor,2024-07-26,58,74,0,31,0,10,-9,G#/A♭,4,5ylbNyulzqOL2kqtAxMjlz,Jesse Welles,QM24S2404503,Miller
214,Zzz (Acappella Version),Sayaka Sasaki,154,3B,44,2025-08-13,02:47,0,anime,Pop,Zzz,2011-05-25,70,80,0,38,0,20,-7,C♯/D♭,4,3nnoOmCi4pmepk4paaEIo4,Lantis,JPI101100781,Shelbie
215,I'll Fall,"bo en, Coris",120,8A,46,2025-08-13,03:38,29,,,Pale Machine Expansion Pack Singles,2014-02-14,82,53,0,52,10,0,-8,A minor,4,0tOyrixMQ17NUznPIxYtVD,bo entertainment,QM2PV1530429,Shelbie
216,Everything You Do,The Happy Fits,150,12A,93,2025-08-13,03:32,43,,,Everything You Do,2025-05-01,44,1,0,58,0,30,-4,C♯/D♭ minor,4,26lhSA6OWdK5MYM31gklqj,Many Hats Distribution,QZNWP2551642,Clark
217,Ojos de Girasol,Darviin,90,1B,24,2025-08-16,04:29,59,bolero,"Latin, Traditional Music",Ojos de Girasol,2022-11-14,66,91,9,25,0,20,-15,B,4,3TIbBfQEDiM3nZiyIf4wFy,"Darviin, under exclusive license to Amuseio AB",MX2832308188,Angel
218,Slow Jamz,"Twista, Kanye West, Jamie Foxx",145,7A,73,2025-08-20,05:16,73,rap,Hip Hop,The College Dropout,2004-02-10,56,31,0,61,10,20,-6,D minor,4,3A4cpTBPaIQdtPFb5JxtaX,Roc-A-Fella,USAT20303708,Micah
219,777,"Bruno Mars, Anderson .Paak, Silk Sonic",102,3B,62,2025-08-20,02:45,60,,,An Evening With Silk Sonic,2021-11-12,84,0,0,89,0,30,-11,C♯/D♭,4,2K6vUau7bnZUamjbRSOOvJ,Aftermath Entertainment/Atlantic,USAT22106194,Micah
220,"How much I Love you,baby",Satellite Lovers,184,11B,47,2025-08-24,04:51,46,"shibuya-kei, japanese indie, city pop","Pop, Rock, Electronic",Sons of 1973,1996-07-01,51,44,86,85,0,10,-13,A,4,2DPg74vcxFDe9dOzioTYMA,Sony Music Labels Inc.,JPB209600056,Angel
221,Fame is a Gun,Addison Rae,138,2A,40,2025-08-30,03:03,84,,,Addison,2025-06-06,69,17,0,41,0,10,-7,D#/E♭ minor,4,7B3BwNecBhKvNwSMOOl7Gk,Columbia,USSM12501572,Theresa
222,Little Lies,Fleetwood Mac,125,10B,69,2025-08-30,03:38,67,"classic rock, yacht rock, soft rock","Rock, Pop",Greatest Hits,1988-11-21,63,12,0,89,0,10,-10,D,4,08o75xMKmGrKny6GsXrNJW,Warner Records,USWB19900207,Theresa
223,Sh-Boom,The Chords,137,7B,52,2025-09-03,02:24,69,doo-wop,"Pop, R&B",Life Could Be a Dream: The Sh-Boom Sound of The Chords,2022-11-18,66,61,0,89,0,20,-8,F,4,2drXvACELcvwryaFRiRPdA,Warner Music Group - X5 Music Group,USAT20703265,Sam
224,Orange Colored Sky - As Heard on “Fallout” (Series),Nat King Cole,129,6B,24,2025-09-03,02:33,64,"christmas, adult standards, vocal jazz","Easy Listening, Pop, Jazz",The Nat King Cole Story,1961-09-25,54,92,0,49,0,10,-15,A#/B♭,4,6fUDNcmsnnUVyOtEnA9xdC,Capitol Records,USCA29101184,Sam
225,Stupid (Can’t run from the urge),underscores,136,8A,67,2025-11-11,03:04,40,hyperpop,"Electronic, Pop",Wallsocket (Director's Cut),2024-06-28,75,1,0,83,0,20,-4,A minor,4,51vRYl0OqozBFkhBzAPzKI,Mom+Pop,USQE92400115,Jean
226,Love Kills,"Levinsky, Sandra Bullet",115,7B,42,2025-09-05,04:20,0,synthwave,Electronic,Love Kills,2019-01-19,68,0,4,40,0,10,-13,F,4,5rJxh1aDc7APBuNtyrhmSv,771822 Records DK,QZ8LD1972789,Shelbie
227,FATHER FIGURE,Jon Bellion,95,1A,75,2025-09-05,03:51,54,,,FATHER FIGURE,2025-06-04,64,10,0,23,0,10,-7,G#/A♭ minor,4,2GEoDwjcRfDxHOiLbi7CWS,Jon Bellion,USA2P2505010,TJ
228,Retrograde,James Blake,78,6A,25,2025-09-05,03:43,62,,,Overgrown,2013-04-08,53,87,10,19,0,10,-11,G minor,4,2IqjKEBiz0CdLKdkXhxw84,Polydor Records,GBUM71300788,TJ
229,Where's Your Head At,Basement Jaxx,128,8B,92,2025-09-06,04:45,70,big beat,Electronic,Rooty,2001-06-25,61,0,9,42,0,20,-5,C,4,3cJh89D0za2SW705fNBo3b,XL Recordings,GBBKS0100014,Shelbie
230,Sway,Michael Bublé,126,7A,64,2025-09-07,03:08,76,christmas,Pop,Michael Bublé,2003-00-00,71,75,0,74,0,0,-6,D minor,4,2ajUl8lBLAXOXNpG4NEPMz,143/Reprise,USRE10201551,Kathryn
231,Stigma,BTS,136,5A,48,2025-09-07,03:36,63,k-pop,Pop,Wings,2016-10-10,57,15,0,34,0,10,-6,C minor,4,3LTwMQ9kkn5VVhP3jipBlR,BIGHIT MUSIC,KRA381601895,Kathryn
232,Dearly Beloved - Unchained χ Version-,Yoko Shimomura,148,5B,39,2025-09-07,03:29,35,"soundtrack, japanese vgm","Electronic, Classical, Easy Listening","KINGDOM HEARTS - III, II.8, Unchained χ & Union χ [Cross] – (Original Soundtrack)",2020-11-11,32,90,94,12,0,10,-12,D#/E♭,4,383hvtumCvxKwCddwT9Po5,Walt Disney Records,USWD12097541,Kathryn
233,Mickey Mouse March,Jimmie Dodd,132,8B,53,2025-09-07,02:06,29,,,KINGDOM HEARTS -HD 2.5 ReMIX- (Original Soundtrack),2023-02-08,76,78,0,59,0,10,-10,C,4,11RJj3WJ8ajZwuw0KuMpfV,Walt Disney Records,USWD11468770,Kathryn
234,Catch Me If You Can,SEGA SOUND TEAM,100,3B,89,2025-09-07,03:36,46,"japanese vgm, soundtrack","Electronic, Classical, Easy Listening",Sonic Riders Shooting Star Story Original Soundtrack ”Zero Gravity Tracks”,2008-01-17,63,17,0,90,0,30,-5,C♯/D♭,4,4gyep5Oh5XqhBC8dCaPRKS,WAVE MASTER,JPX300730170,Micah
235,Ring Ring Ring,"Tyler, The Creator",119,2B,72,2025-09-07,03:21,77,,,DON'T TAP THE GLASS,2025-07-21,76,25,0,69,0,60,-6,F#/G♭,4,1lTqq0aC6r2bXLviQ3oaVt,Columbia,USQX92503274,Micah
236,ETERNAL LOOP (clear),SABER TIGER,138,10B,81,2025-09-08,08:42,28,,,ETERNAL LOOP,2001-11-21,47,0,0,23,0,10,-6,D,3,10GgqzqOVFXXQcBZ0UNrOV,VAP,JPVP00110503,Angel
237,Sunburn,Fuel,94,9A,79,2025-09-08,04:23,51,post-grunge,Rock,Sunburn,1997-00-00,50,0,0,55,0,0,-7,E minor,4,35EXxM1zE4eg2G6f3PSle4,Epic,USSM19702941,Sam
238,House Tour,Sabrina Carpenter,118,2B,88,2025-09-08,02:49,84,pop,Pop,Man’s Best Friend,2025-08-29,77,13,0,61,0,30,-5,F#/G♭,4,25jgQBxuUkGDdCG1WGKKN9,Island Records,USUM72504449,Sarah
239,Divine,"MONJOE, ☆Taku Takahashi, SWEEP, JUVENILE, New PANTY & STOCKING with GARTERBELT",113,10A,94,2025-09-09,03:16,55,j-r&b,"Pop, R&B",Divine,2025-08-14,82,5,0,47,10,30,-5,B minor,4,2yCiAcwmjCoB3UtZrMdzbu,FlyingDog,JPVI02501879,Sarah
240,Andrew in Drag,The Magnetic Fields,120,8B,73,2025-09-10,02:12,38,anti-folk,Folk,Love at the Bottom of the Sea,2012-03-06,68,46,0,45,0,30,-6,C,4,5ehMCdeOhsgsx25M6wAEzu,Merge Records,USMRG1243902,Sarah
241,Boyfriend,Big Time Rush,164,12A,86,2025-09-11,03:21,62,,,BTR,2010-10-11,61,10,0,68,10,10,-4,C♯/D♭ minor,4,1rKBOL9kJfX1Y4C3QaOvRH,Nickelodeon/Columbia,USSM11003623,Sarah
242,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",123,9A,69,2025-09-11,03:14,97,k-pop,Pop,KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20,65,10,0,10,0,10,-4,E minor,3,1CPZ5BxNNd0n0nF4Orb9JS,K-Pop Demon Hunters,QZ8BZ2513510,Sarah
243,Pop It,"Anamanaguchi, meesh",116,2B,90,2025-09-18,04:00,30,vocaloid,Electronic,Pop It,2014-09-19,56,8,0,93,0,0,-3,F#/G♭,4,7Bcoyj1W0f2j1FskIcYaOV,Polyvinyl Records,USA2P1451384,Miller
244,Too Sweet,Hozier,117,6B,62,2025-09-18,04:11,79,,,Unreal Unearth: Unaired,2024-08-19,74,3,0,93,0,0,-6,A#/B♭,4,76JKIsdKrAfWUMjaA0u7v5,Columbia,USSM12401865,Miller
245,I know but,Sagong,120,12B,57,2025-09-25,02:57,12,,,I know but,2021-04-27,74,44,32,92,0,20,-8,E,4,6ZgO32yB5gf42VSEaxaoTO,Sagong,KRMIM2117833,Eunice
246,Vices,Sarah and the Sundays,150,5A,82,2025-09-25,04:35,44,,,The Living End,2021-10-15,56,5,0,61,0,10,-7,C minor,4,5rICq1ntzHJHRrGHtydPfr,Sarah and the Sundays/Fourward Music,GBKPL2162182,Eunice
247,southbound,Artemas,97,9B,92,2025-10-02,02:17,71,,,southbound / test drive,2025-03-19,57,0,0,57,20,50,-4,G,4,4jiwz2tQZo21Z4NQwz4zUt,Artemas,QZJ842501250,Jean
248,PRETTY PLEASE,"Dutch Melrose, benny mayne",122,9A,69,2025-10-02,02:46,71,dark r&b,R&B,PRETTY PLEASE,2024-04-24,68,1,0,70,0,40,-6,E minor,4,6kOdk29M8h6ZfHz4byVG0t,MADKID RECORDS,QZK6N2432063,Jean
249,Til I Am Myself Again - 2012 Remaster,Blue Rodeo,129,9B,91,2025-10-03,03:59,48,"country rock, alt country","Country, Rock",Casino,1990-11-20,57,3,0,84,0,40,-4,G,4,5eHPODjuuKkrJXwhhaMaQa,Warner Music Canada,CAW111200083,Clark
250,Forgiving Ties,Deer Tick,140,11B,89,2025-10-03,04:10,30,"alt country, americana","Country, Rock, Folk",Emotional Contracts,2023-06-16,54,0,0,89,0,10,-5,A,4,0XcqVw2XsH6Mdbl5FLMwJk,ATO Records LLC,USATO2200577,Clark
251,Plant Life,Owl City,160,6B,73,2025-10-06,04:10,34,,,All Things Bright And Beautiful,2011-01-01,40,23,0,51,0,0,-7,A#/B♭,3,3Uq06PHpVt4T9KYceuPYZn,Universal Records,USUM71104678,TJ
252,Up All Night,Owl City,91,7A,88,2025-10-06,03:51,40,,,Ultraviolet,2015-05-14,55,1,0,48,0,0,-5,D minor,4,44hRtTWULYEMCetZqyUniO,Owl City/Republic Records,USUM71406978,TJ
253,Devil Like You,The Bridge City Sinners,123,8A,50,2025-10-11,02:50,49,"folk punk, southern gothic, anti-folk","Folk, Rock",Unholy Hymns,2021-08-20,65,76,0,83,0,20,-7,A minor,4,6GsLqBcfvyst18CeWPTgHx,Flail Records,QZHN62127246,Gabe
254,Dirty Imbecile,The Happy Fits,100,5B,53,2025-10-11,03:59,57,,,Awfully Apeelin',2016-08-27,84,48,0,39,10,10,-10,D#/E♭,4,7evpKJpRBRpCHux5JaczZX,Diamond City and Many Hats Distribution,GBMJG1610596,Gabe
255,Wires,The Neighbourhood,73,6A,57,2025-10-11,03:13,61,,,I'm Sorry...,2013-05-08,57,0,10,27,0,30,-6,G minor,4,5v8aEcHcaJIGYpfVVPtJjI,the [r]evolve group,USSM11204648,Gabe
256,Courage to Grow,Rebelution,140,1A,58,2025-10-11,04:15,54,"reggae, reggae rock, roots reggae","Reggae, Rock",Courage to Grow,2007-06-08,78,0,0,86,0,0,-7,G#/A♭ minor,4,33Ib9wPVhh2MWHhmS7Yne9,87 Music,ushm20777311,Gabe
257,You Dont Love Me,Caro Emerald,189,4A,76,2025-10-11,03:53,0,"electro swing, swing music","Electronic, Jazz",Deleted Scenes From The Cutting Room Floor,2010-01-29,61,78,0,67,20,10,-5,F minor,4,7J4JMsAqdJIipDPTGsAjXN,Grandmono Records,NLHR30900019,Gabe
